VARIABLES =TIME,   e11,    S11
  0.50000D-01  0.12500D-02  0.62500D+00
  0.10000D+00  0.25000D-02  0.12500D+01
  0.15000D+00  0.37500D-02  0.18750D+01
  0.20000D+00  0.50000D-02  0.25000D+01
  0.25000D+00  0.62500D-02  0.31250D+01
  0.30000D+00  0.75000D-02  0.37500D+01
  0.35000D+00  0.87500D-02  0.43750D+01
  0.40000D+00  0.10000D-01  0.50000D+01
  0.45000D+00  0.11250D-01  0.56250D+01
  0.50000D+00  0.12500D-01  0.62500D+01
  0.55000D+00  0.13750D-01  0.68750D+01
  0.60000D+00  0.15000D-01  0.75000D+01
  0.65000D+00  0.16250D-01  0.81250D+01
  0.70000D+00  0.17500D-01  0.87500D+01
  0.75000D+00  0.18750D-01  0.93750D+01
  0.80000D+00  0.20000D-01  0.10000D+02
  0.85000D+00  0.34237D-01  0.10625D+02
  0.90000D+00  0.49000D-01  0.11250D+02
  0.95000D+00  0.64331D-01  0.11875D+02
  0.10000D+01  0.80290D-01  0.12500D+02
  0.10500D+01  0.78040D-01  0.11375D+02
  0.11000D+01  0.75790D-01  0.10250D+02
  0.11500D+01  0.73540D-01  0.91250D+01
  0.12000D+01  0.71290D-01  0.80000D+01
  0.12500D+01  0.69040D-01  0.68750D+01
  0.13000D+01  0.66790D-01  0.57500D+01
  0.13500D+01  0.64540D-01  0.46250D+01
  0.14000D+01  0.62290D-01  0.35000D+01
  0.14500D+01  0.60040D-01  0.23750D+01
  0.15000D+01  0.57790D-01  0.12500D+01
  0.15500D+01  0.55540D-01  0.12500D+00
  0.16000D+01  0.53290D-01 -0.10000D+01
  0.16500D+01  0.51040D-01 -0.21250D+01
  0.17000D+01  0.48790D-01 -0.32500D+01
  0.17500D+01  0.46540D-01 -0.43750D+01
  0.18000D+01  0.44290D-01 -0.55000D+01
  0.18500D+01  0.42040D-01 -0.66250D+01
  0.19000D+01  0.35386D-01 -0.77500D+01
  0.19500D+01  0.12058D-01 -0.88750D+01
  0.20000D+01 -0.12692D-01 -0.10000D+02
  0.20500D+01 -0.10442D-01 -0.88750D+01
  0.21000D+01 -0.81922D-02 -0.77500D+01
  0.21500D+01 -0.59422D-02 -0.66250D+01
  0.22000D+01 -0.36922D-02 -0.55000D+01
